s_Q,prob_lead_lifetime
947,0.012250685501078011
948,0.012441282119884635
949,0.012620041734170619
950,0.01278639492530986
951,0.012939808028020363
952,0.013079785931981476
953,0.013205874695241926
954,0.013317663950463288
955,0.013414789086483841
956,0.013496933189289547
957,0.013563828728226618
958,0.013615258975167938
959,0.013651059146336486
960,0.013671117258572818
961,0.013675374693992506
962,0.013663826469190826
963,0.01363652120739625
964,0.013593560814229052
965,0.013535099859965181
966,0.013461344673417841
967,0.01337255215470764
968,0.013269028316277911
969,0.013151126563504421
970,0.013019245728130371
971,0.012873827869511051
972,0.012715355860262742
973,0.012544350774362804
974,0.012361369097030915
975,0.012166999776824866
976,0.011961861141299386
977,0.011746597698298019
978,0.011521876845471098
979,0.0112883855109363
980,0.011046826748121477
981,0.010797916307755723
982,0.010542379209707013
983,0.010280946336910854
984,0.010014351073000673
985,0.0097433260044484937
986,0.00946859970706348
987,0.0091908936355901763
988,0.0089109191339105873
989,0.00862937458200008
990,0.0083469426943319127
991,0.0080642879828854656
992,0.0077820543963056767
993,0.0075008631451028655
994,0.0072213107210899489
995,0.0069439671175453316
996,0.0066693742548803309
997,0.0063980446148968828
998,0.0061304600850588383
999,0.0058670710125836778
1000,0.0056082954666042658
1001,0.0053545187051645829
1002,0.0051060928424110415
1003,0.0048633367100314514
1004,0.0046265359057861433
1005,0.0043959430208771631
1006,0.0041717780369178396
1007,0.0039542288824009342
1008,0.0037434521378218628
1009,0.0035395738779960867
1010,0.0033426906396167269
1011,0.003152870501729012
1012,0.0029701542665499644
1013,0.0027945567279314752
1014,0.0026260680147482157
1015,0.0024646549965831916
1016,0.0023102627392771057
1017,0.0021628159981959103
1018,0.0020222207374465018
1019,0.0018883656637253331
1020,0.0017611237640101577
1021,0.0016403538368925941
1022,0.0015259020079895337
1023,0.0014176032205558047
1024,0.0013152826931398238
1025,0.0012187573368695394
1026,0.0011278371257191547
1027,0.0010423264138796331
1028,0.00096202519513009592
1029,0.00088673029987537753
1030,0.00081623652627043936
1031,0.00075033770258869231
1032,0.00068882767870280959
1033,0.00063150124522827011
1034,0.00057815497952716174
1035,0.00052858801837893192
1036,0.00048260275769261573
1037,0.00044000548015912648
1038,0.00040060691222056229
1039,0.00036422271216490993
1040,0.000330673891538317
1041,0.000299787172403129
1042,0.00027139528325849176
1043,0.00024533719668237285
1044,0.0002214583119505889
1045,0.00019961058604149712
1046,0.00017965261654639321
1047,0.00016144968007759993
1048,0.00014487372980123537
1049,0.00012980335572239873
1050,0.00011612371131983017
1051,0.00010372641006791959
1052,9.2509395299246168E-05
1053,8.2376786753631128E-05
1054,7.3238707032968162E-05
1055,6.50110910378057E-05
1056,5.7615481304648761E-05
1057,5.0978811994983065E-05
1058,4.5033184110729314E-05
1059,3.9715634328689491E-05
1060,3.4967899660868656E-05
1061,3.0736179960485965E-05
1062,2.69709001069873E-05
1063,2.3626473519204597E-05
1064,2.066106846555085E-05
1065,1.8036378465174491E-05
1066,1.5717397905514123E-05
1067,1.3672203840696949E-05
1068,1.18717447825352E-05
1069,1.0289637152144929E-05
1070,8.9019699259280547E-06
1071,7.6871178851563259E-06
1072,6.6255637638691046E-06
1073,5.6997294853097641E-06
1074,4.8938165826272625E-06
1075,4.1936558149037285E-06
1076,3.5865659144905341E-06
1077,3.0612213358185595E-06
1078,2.6075288189035128E-06
1079,2.2165125322485974E-06
1080,1.8802075192671354E-06
1081,1.5915611391866436E-06
1082,1.3443421671106405E-06
1083,1.1330571979493446E-06
1084,9.5287398472410568E-07
1085,7.9955133274413686E-07
1086,6.69375166797822E-07
1087,5.5910038825882617E-07
1088,4.658981423631344E-07
1089,3.873081223737848E-07
